symbol,subject,n_events,median_abs_adj_r_60m,mean_abs_adj_r_60m,ci_low,ci_high,median_adj_r_60m,share_positive_60m,median_vol_ratio_60m,median_rv_ratio_60m,median_adj_r_to_close,inference_supported
HDFCBANK,ALL SUBJECTS,393,0.005428142249991524,0.008417639813971414,0.00456116374900653,0.0069102457684728225,-0.0007881335231426645,0.4402035623409669,1.0051734088446191,1.0144309184116915,-0.0008997924460066309,True
HDFCBANK,Routine Filing,105,0.004493866914168032,0.006598774187087883,0.003147333464869173,0.006693997510883454,-0.0005317079161434313,0.4666666666666667,1.0051734088446191,0.998799687139623,0.0003896440076520402,True
HDFCBANK,Capital & Corporate Action,82,0.00689967340210626,0.008869693762900806,0.004500662137507189,0.009050107181844957,-0.00036309065961806497,0.47560975609756095,0.9955760097312291,0.9437104946246204,-0.00215760695486604,True
HDFCBANK,Investor Communication,64,0.004613362535123955,0.007220703190833409,0.002754174521666153,0.006919984567420884,-0.0014432358186049626,0.34375,0.8941160050234416,0.9348272891167719,-0.0013398093526820337,True
HDFCBANK,Other / Unclassified,61,0.007936119136686709,0.010498344016846007,0.006449714147852947,0.009121525400317576,-0.0014262155993528813,0.4426229508196721,1.0639803671860517,1.0799444529676512,-0.0047666696677544085,True
HDFCBANK,Management & Board Change,32,0.004555389016846337,0.007430135825516047,0.00259625895601881,0.006753265007064302,-0.0016284015497547571,0.34375,1.1649476979840763,1.038680532726033,-0.0011629774172223911,True
HDFCBANK,M&A / Strategic,16,0.006210820886759116,0.010265121886258203,0.002961903262259119,0.013733288897350884,7.766912630807754e-05,0.5,1.5122175796521604,1.1661267049308375,0.002500645249198921,True
HDFCBANK,Board Meeting Intimation,15,0.0044589383571418395,0.007885002929380353,0.002217982410206598,0.011970382929052725,0.0004608309642608055,0.5333333333333333,0.7527824143238988,1.0320211047568504,0.0023811885395077226,True
HDFCBANK,Financial Results,10,0.015170471792039175,0.022395559970205016,0.006218390637096949,0.03575269345188209,-0.002771445033132161,0.5,2.4789919401491924,2.9718523675592117,0.000811509560958823,True
HDFCBANK,Clarification,4,0.004960795339565033,0.006319127956528406,0.0021276660329355157,0.013227255114048042,0.0033035130879571772,0.75,1.4060930833614962,1.013889748894026,0.0006706731069265892,False
HDFCBANK,Credit Rating,3,0.004267914888836544,0.004298728347916818,0.0008997924460066309,0.007728477708907278,-0.0008997924460066309,0.3333333333333333,0.8999504866425855,0.9346776557740561,-0.00046664077264385595,False
HDFCBANK,Board Meeting Outcome,1,0.0030126423384623513,0.0030126423384623513,,,-0.0030126423384623513,0.0,1.6674317907963796,2.798976412461792,-0.0021170385486870003,False
NYKAA,ALL SUBJECTS,212,0.006662570443907889,0.010454266184495934,0.005094564176535699,0.008715594197085008,0.0005232403829159848,0.5283018867924528,1.3796979085979861,1.1617339935038775,0.0003418627600199897,True
NYKAA,Routine Filing,48,0.0058936339226930284,0.008442767062286494,0.003719080653008411,0.008455349383921396,0.0015964858278284255,0.6041666666666666,1.428907054143888,1.1070670155195743,0.0031691291556970452,True
NYKAA,Investor Communication,42,0.0074698995235576715,0.009240171416860742,0.00432002380542465,0.009444822401452946,0.0018988199376230586,0.6190476190476191,1.2373199856501016,1.1227309829353513,-0.0010779034864610154,True
NYKAA,Capital & Corporate Action,38,0.003798115839638086,0.008477587412093817,0.002260574228288015,0.0070598649744647995,-0.00038584672995869984,0.47368421052631576,0.8764990092055132,1.0135672767149315,0.0006691951503394189,True
NYKAA,Other / Unclassified,29,0.013885619302219349,0.015443718832776666,0.008715594197085008,0.019776960545688227,0.0006846273533445413,0.5517241379310345,2.974018673063471,1.599599279038927,0.0003333333389723414,True
NYKAA,M&A / Strategic,13,0.004284599062450489,0.009025949937479053,0.00231160360214111,0.009606089269888707,-0.002766543306375685,0.23076923076923078,1.68470012682575,1.3675794150446794,-0.002304930282627904,True
NYKAA,Board Meeting Intimation,12,0.0029967744539648594,0.009847792520106131,0.0014981456992198966,0.01643140508176824,0.00092738048959011,0.5833333333333334,1.2830967005639433,1.1672749472651285,-0.0012418622130120072,True
NYKAA,Financial Results,12,0.01722530980702526,0.019380342273749743,0.0062112783980052405,0.03289167901010717,0.0019892782880735482,0.5833333333333334,12.740213891412527,2.6631098266098103,0.0020675307922264907,True
NYKAA,Management & Board Change,10,0.010321615081553909,0.011391011075376604,0.002116160392236388,0.01775691887903999,-0.001293047198301131,0.4,1.7725407062597889,1.4981675284579414,-0.005814878784938166,True
NYKAA,Clarification,4,0.006025765119563806,0.006758902858032975,0.001355180891008334,0.013628900301995955,-0.006025765119563806,0.25,1.8304252548870648,0.8942318769043465,-0.005331415877567108,False
NYKAA,Credit Rating,4,0.005878567310221794,0.010981888976437704,0.001967858980440468,0.03020256230486676,-0.003531211578488083,0.25,1.663044235469932,1.150857297596179,-0.0011005949396263176,False
RELIANCE,ALL SUBJECTS,435,0.006624766184487846,0.008583953626712987,0.006017289772338563,0.007399162974607654,-0.00018671318761082079,0.49195402298850577,1.025734649267199,1.0377187973173487,-0.0017283161123997637,True
RELIANCE,Routine Filing,152,0.006530715430469722,0.009030435629911314,0.005428941965559486,0.007846558949422044,-0.0009046437884857456,0.4868421052631579,1.0370753320988157,1.0381629025476837,-0.001331146673951622,True
RELIANCE,Investor Communication,107,0.006267588630119586,0.007753693698017113,0.004676992202176211,0.006989219051837581,1.2220248952810042e-05,0.5046728971962616,0.9452915730613217,0.980426205638593,-0.0025227900526792746,True
RELIANCE,M&A / Strategic,55,0.007397380111582641,0.008805192614668113,0.006018101046086882,0.008475750880570676,0.00013423809809678944,0.5272727272727272,1.119020767542955,1.075301812052706,-0.0017283161123997637,True
RELIANCE,Other / Unclassified,46,0.006901387682770738,0.007174756554378855,0.0037093407768530595,0.008296211161692463,-0.0003437476530039618,0.5,1.1549085193896258,1.057606185986093,-0.0020562562193005424,True
RELIANCE,Credit Rating,17,0.0067808226513928205,0.008571389771950044,0.0020522368926994827,0.00928665334561607,-0.00018671318761082079,0.4117647058823529,0.6382084971076374,0.9249095362831322,1.0739493175232484e-05,True
RELIANCE,Board Meeting Intimation,13,0.007407737518487306,0.007490508843062272,0.0030615092122272813,0.010615586334951771,0.0008334289879179946,0.5384615384615384,0.7439441073164238,1.0337423688047211,0.004389549845428331,True
