scope,measure,horizon_sessions,n_events,mean_drift,median_drift,sd,continuation_rate,n_continued,ci_low_blocked,ci_high_blocked,ci_low_naive,ci_high_naive,p_ttest,p_wilcoxon,p_sign_vs_50pct,min_detectable_effect,significant_blocked
HDFCBANK,raw,10,10,0.007655673505894756,0.0037884662390302304,0.026795536248701995,0.6,6.0,-0.00838059037226484,0.023043025924847,-0.00838059037226484,0.023043025924847,0.3898103160666622,0.431640625,0.75390625,0.023739211521918203,False
HDFCBANK,raw,20,10,0.02223769826431332,0.01843960196935024,0.034322423315700255,0.6,6.0,0.0027295645266034916,0.042876758695916166,0.0027295645266034916,0.042876758695916166,0.07074431989458486,0.10546875,0.75390625,0.03040757458532649,True
NYKAA,raw,1,12,0.0014682323684391447,2.6151032868904078e-05,0.016951838538384063,0.5,6.0,-0.007601230041837286,0.010778550413427682,-0.007601230041837286,0.010778550413427682,0.7697460595039849,0.90966796875,1.0,0.013709765343325808,False
NYKAA,raw,3,12,0.005405320695121063,0.003042236823753597,0.02934163355135096,0.5833333333333334,7.0,-0.010006456326557665,0.021748119377959674,-0.010006456326557665,0.021748119377959674,0.5364302653586372,0.67724609375,0.7744140625,0.023729987155553883,False
NYKAA,raw,5,12,0.013311462037878363,0.014454560929091753,0.04643778805400691,0.5833333333333334,7.0,-0.010481215700630066,0.039466001539381394,-0.010481215700630066,0.039466001539381394,0.3420560085413656,0.4697265625,0.7744140625,0.0375564677448976,False
NYKAA,raw,10,12,0.01951613950643254,0.02273475301515171,0.07272676942127221,0.6666666666666666,8.0,-0.019249011833454805,0.059112376992460136,-0.019249011833454805,0.059112376992460136,0.3725352185277127,0.33935546875,0.3876953125,0.05881762858265463,False
NYKAA,raw,20,11,0.020727428872772215,0.008363201911589013,0.08720645607618047,0.5454545454545454,6.0,-0.028372846649168983,0.07005544680131667,-0.028372846649168983,0.07005544680131667,0.4488030976591812,0.4130859375,1.0,0.07366414162298558,False
POOLED,raw,1,57,0.006992119406147381,0.003076923076922977,0.02845111298836695,0.543859649122807,31.0,0.0003035452330264707,0.01472336790987584,0.0003035452330264707,0.01472336790987584,0.06879929826745869,0.10628845243303421,0.5966417603730826,0.010557611331805617,True
POOLED,raw,3,57,0.006104573370341658,0.003151332465575196,0.0463304925154758,0.5614035087719298,32.0,-0.005284755227851471,0.01890077637246838,-0.005284755227851471,0.01890077637246838,0.32412373174108944,0.48692639585837794,0.42704285650325524,0.017192274094497507,False
POOLED,raw,5,57,0.00844420101460104,0.0023923444976077235,0.05239908953213059,0.5263157894736842,30.0,-0.004171180690658342,0.023139678960178614,-0.004171180690658342,0.023139678960178614,0.22883345514067197,0.4770246717509008,0.7913664277791806,0.01944420317218924,False
POOLED,raw,10,55,0.013176918212559048,0.009484625378952005,0.07083271448815237,0.6,33.0,-0.003999496055999761,0.032488107884954404,-0.003999496055999761,0.032488107884954404,0.17338830289529752,0.27238364171566654,0.1770013647703581,0.026758168111886485,False
POOLED,raw,20,54,0.0059401394895450535,0.005553077710452881,0.09523479214416862,0.5555555555555556,30.0,-0.019161285730078192,0.031264671310437205,-0.019161285730078192,0.031264671310437205,0.6485744501690649,0.36824384388670106,0.49661743531793345,0.03630802247791259,False
RELIANCE,raw,1,12,0.008392723473100485,0.010799148722553886,0.011035164437232917,0.75,9.0,0.0023302538348895755,0.014121218325943992,0.0023302538348895755,0.014121218325943992,0.023215857622130315,0.02685546875,0.14599609375,0.008924667057022299,True
RELIANCE,raw,3,12,0.010612094489023385,0.004861305922516934,0.02132727455064869,0.75,9.0,-0.0003778123136483623,0.022361485801377,-0.0003778123136483623,0.022361485801377,0.11271889575947745,0.17626953125,0.14599609375,0.0172483904232579,False
RELIANCE,raw,5,12,0.009992220974586343,0.013813620722674114,0.03121756380995763,0.6666666666666666,8.0,-0.006873072833135911,0.026879649261728884,-0.006873072833135911,0.026879649261728884,0.2911697414377245,0.30126953125,0.3876953125,0.025247141981427627,False
RELIANCE,raw,10,12,0.005840105442769851,0.0063416580736908035,0.025142836931007308,0.75,9.0,-0.008720558269716802,0.018613882032438075,-0.008720558269716802,0.018613882032438075,0.4380775824710125,0.2333984375,0.14599609375,0.020334218828778144,False
RELIANCE,raw,20,12,0.0011989680067230242,0.004752291651506868,0.04131870120193828,0.5833333333333334,7.0,-0.022348059651106478,0.02224314474706626,-0.022348059651106478,0.02224314474706626,0.9217403860503528,0.791015625,0.7744140625,0.03341641654307348,False
RVNL,raw,1,12,0.029519311461640413,0.020062384116192822,0.04710520518854511,0.6666666666666666,8.0,0.006764899677984171,0.05760192426620553,0.006764899677984171,0.05760192426620553,0.052699856695405486,0.0322265625,0.3876953125,0.03809624001089193,True
RVNL,raw,3,12,0.014055577354142562,-0.007308138635308714,0.08838924258092944,0.4166666666666667,5.0,-0.028682034642837126,0.06608254522273659,-0.028682034642837126,0.06608254522273659,0.5927424048245619,0.9697265625,0.7744140625,0.07148462226766578,False
RVNL,raw,5,12,0.013015170269475454,-0.01783599966957622,0.09196897148245253,0.3333333333333333,4.0,-0.029240764757315317,0.06895903507283271,-0.029240764757315317,0.06895903507283271,0.6336032094130272,0.9697265625,0.3876953125,0.0743797208212225,False
RVNL,raw,10,11,0.02981067532835308,-0.021042471042471034,0.12181824669644273,0.45454545454545453,5.0,-0.026987976675714807,0.10626887883296447,-0.026987976675714807,0.10626887883296447,0.4358994287713754,0.8984375,1.0,0.10290105779635746,False
RVNL,raw,20,11,0.015436169067710524,-0.024553571428571397,0.1237401734330211,0.45454545454545453,5.0,-0.045763604820594286,0.09213927490166611,-0.045763604820594286,0.09213927490166611,0.6877996432840989,0.9658203125,1.0,0.10452452800352462,False
POOLED,raw | initial reaction R0 (signed),0,57,-0.004580994536293845,-0.004533580284454386,0.03228383165400301,,,,,,,,,,,False
POOLED,raw | initial reaction |R0|,-1,57,0.0261081686890682,0.022925492150510873,0.019230119248540553,,,,,,,,,,,False
